AI4Cloud,John Bear & David Redwine & ,2015,1-10 employees,Self-funded,Horizontal,IT Mgt,B2B SaaS,Startup,ai4cloud.com,https://www.linkedin.com/company/ai4cloud/about/,"11567 Cedar Cliff Dr, Austin, Texas 78759, US"
AIQUEOUS,Jonathan Kleinman & ,2015,11-50 employees,Other,Government,Communications,B2G,Small,https://www.aiqueous.com/careers-1/,https://www.linkedin.com/company/aiqueous/about/,"502 W. 30th Street #1, Austin, Texas 78705"
AirMap,Robert Hull III & Lamar Milstead & Simon Crowther & ,2014,51-200 employees,Other,Aviation,Automation,B2B SaaS,Medium,www.airmap.com,https://www.linkedin.com/company/airmapio/about/,"Austin, TX"
AirTable,Brian Hagen & Archana Agrawal & Howie Liu & ,2013,51-200 employees,VC-funded,Horizontal,Communications,B2B SaaS,Medium,https://airtable.com/careers#open-positions/,https://www.linkedin.com/company/airtable/about/,"801 Barton Springs Rd, Austin, Texas 78704, US"
Airtory,Julian Frachtman & ,2016,11-50 employees,Self-funded,Horizontal,Sales and Marketing,B2B SaaS,Small,www.airtory.com,https://www.linkedin.com/company/airtory/about/,"1700 E 4th St., Austin, TX 78702, USA"
Alert Logic,Edwin Lemus & Bryan Urioste & John Post & ,2002,501-1000 employees,Private Equity funding,Horizontal,Cybersecurity,B2B SaaS,Large,https://www.alertlogic.com/about-us/careers/,https://www.linkedin.com/company/alert-logic/about/,"6500 River Place Blvd, Building 1, Austin, Texas 78730, US"
AlertMedia,Laura Woolford & Alex Vaccaro & Christopher Kenessey & ,2013,51-200 employees,VC-funded,Horizontal,Communications,B2B SaaS,Medium,https://www.alertmedia.com/careers/,https://www.linkedin.com/company/alertmedia/about/,"901 South Mopac Expressway. Building 3, Suite 400 Austin, TX 78746"
Algorine,Paul Azunre & ,2014,1-10 employees,Angel or Seed Funding,Horizontal,AI and Machine Learning,B2B SaaS,Startup,www.algorine.com,https://www.linkedin.com/company/algorine/about/,"Austin, TX"
Alive5,Rohit Joshi & Dustin Yu & ,2017,11-50 employees,Angel or Seed Funding,Horizontal,Sales and Marketing,B2B SaaS,Small,www.alive5.com,https://www.linkedin.com/company/alive5/about/,"Austin, TX"
allhers,Rebecca Butler & ,2020,1-10 employees,Other,Horizontal,Lifestyle,Consumer,Startup,forallhers.com,https://www.linkedin.com/company/allhers/about/,"Austin, TX"
Allies Against Slavery,John Nehme & ,2010,1-10 employees,Self-funded,Non-Profit,Ecommerce,B2B SaaS,Startup,https://www.alliesagainstslavery.org/careers/,https://www.linkedin.com/company/allies-against-slavery/about/,"5540 N Lamar Blvd, STE 214, Austin, Texas 78751, US"
Allosense,Bramdi Clinard & Roman Sandoval & ,2019,1-10 employees,Angel or Seed Funding,Government,Automation,B2G,Startup,www.allosense.com,https://www.linkedin.com/company/allosense/about/,"Austin, TX"
Allstacks,Kristi Bjornaas & Josh Teitelman & Hersh Tapadia & ,2017,11-50 employees,Angel or Seed Funding,Horizontal,Communications,B2B SaaS,Small,https://www.allstacks.com/careers,https://www.linkedin.com/company/allstacks/about/,"Austin, TX"
Alogent,Aditya Chilukuri & Lee Cassidy & Dede Wakefield & ,1995,201-500 employees,Acquired,Financial Services,Business Mgt and ERP,B2B SaaS,Medium,https://www.alogent.com/careers/,https://www.linkedin.com/company/alogent-corp/about/,"Austin, TX"
"Alpha Nodus, Inc.",Shamit Patel & ,2015,11-50 employees,Angel or Seed Funding,Healthcare,AI and Machine Learning,B2B SaaS,Small,www.alphanodus.com,https://www.linkedin.com/company/alphanodus/about/,"9600 Great Hills Trail, Suite 150W, Austin, Texas 78759, US"
AlterPoint (Ignite Technologies),Eric Vaughan & Davin Cushman & ,2000,51-200 employees,Acquired,Horizontal,IT Mgt,B2B SaaS,Medium,https://ignitetech.com/about/#careers/,https://www.linkedin.com/company/ignite-technologies/about/,"401 Congress Ave., Suite 2650, Austin, TX 78701"
Altr,James Beecham & David Sikora & ,2017,51-200 employees,VC-funded,Horizontal,Cybersecurity,B2B SaaS,Medium,https://www.altr.com/careers/,https://www.linkedin.com/company/altrsoftware/about/,"Austin, TX"
Amazon,Beth Galetti & Ukonwa Kuzi-Orizu Ojo & Andy Jassy & ,1994,"10,001+ employees",Public,Retail,Ecommerce,B2B SaaS,Large,https://www.amazon.jobs/en/,https://www.linkedin.com/company/amazon/about/,"11501 Alterra Pkwy, Austin, TX 78758"
Amazon Services,Beth Galetti & Ukonwa Kuzi-Orizu Ojo & Andy Jassy & ,1995,1001-5000 employees,Public,Horizontal,IT Mgt,B2B SaaS,Large,https://www.amazon.jobs/en/,https://www.linkedin.com/showcase/amazon-services/about/,"11501 Alterra Pkwy, Austin, TX 78758, US"
Anaconda,Jessica Reeves & Kelley Davis-Felner & Peter Wang & ,2012,51-200 employees,Other,Horizontal,Analytics and BI,B2B SaaS,Medium,https://www.anaconda.com/careers/,https://www.linkedin.com/company/anacondainc/about/,"206 E 9th St, Floor 18, Austin, Texas 78701, US"
Anedot,Joshua Breland & Paul Dietzel II & ,2010,11-50 employees,VC-funded,Non-Profit,Sales and Marketing,B2B SaaS,Small,https://www.anedot.com/careers,https://www.linkedin.com/company/anedot/about/,"Austin, TX"
Anterra,Adam Oblath & Charles Merwin & Bruce Vanderzyde & ,2008,1-10 employees,Self-funded,Construction,Analytics and BI,B2B SaaS,Startup,https://anterratech.com/careers/,https://www.linkedin.com/company/anterra-technology/about/,"210 S Stagecoach Trail, #1708, San Marcos, Texas 78666, US"
ApartmentHomeLiving,Trey Huguley & Kevin Ready & ,2006,11-50 employees,Self-funded,Construction,Personal Real Estate,Consumer,Small,www.apartmenthomeliving.com,https://www.linkedin.com/company/apartment-home-living/about/,"Austin, TX"
Apogee Telecom,"Bill Simcoe & Teresa de Onis & Chuck Brady, Larry Hall, Mark Holt, Rajiv Shenoy & ",1998,51-200 employees,Self-funded,Education,eLearning,B2B SaaS,Medium,https://www.apogee.us/employment/,https://www.linkedin.com/company/apogee-inc./about/,"1905 Kramer Ln, Austin, Texas 78758, US"
